key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
2252,1573.0,1593.0,2.820603,2.063001,623.0,604.5956372849636,3.988935016670239,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,135.0,105.0,72.115684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7380377197
2253,1572.0,1590.0,4.406289,3.5052440000000002,903.0,1063.9459626417067,6.231433663535382,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,149.0,208.0,81.157433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6313524781
2255,1563.0,1590.0,2.64514,1.820009,710.0,630.7143827013333,3.740792862375569,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,98.0,105.0,128.113433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1442753296
2256,1590.0,1591.0,4.137368,3.033571,763.0,936.2581785583858,5.851121938128448,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,148.0,106.0,94.043037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5174326595
2257,1571.0,1588.0,3.189364,2.281216,696.0,621.0622209888585,4.510441824144504,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,149.0,102.0,88.14624,15.17048,0.0,0.0,0.0,0.0,0.0,0.0,17.4310421142
2258,1557.0,1586.0,2.895771,2.105537,855.0000000000001,942.6323982942463,4.0952386217267005,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,147.0,104.0,87.054237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0250620841
2259,1552.0,1586.0,4.948435,3.532227,724.0,831.5791541601282,6.998143889521707,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.880004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6788326339
2260,1575.0,1620.0,4.731712,3.59608,1909.0,1924.7599219967612,6.691651283643522,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,49.0,0.0,314.0,0.0,197.0,207.0,106.142402,30.129841,0.0,0.0,0.0,0.0,0.0,0.0,13.8170658264
2261,1574.0,1597.0,4.484464,3.103681,1063.0,1304.811737842167,6.341989808773899,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,28.0,0.0,312.0,0.0,187.0,208.0,105.094078,30.250481,0.0,0.0,0.0,0.0,0.0,0.0,30.8366582031
2262,1558.0,1593.0,5.412238,3.967411,1056.0,1205.2235824551774,7.654060382391036,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,149.0,104.0,69.27648099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1445059204
